	Gender	Age	EducYrs	EducLvl	WorkExp	Start	LoS	Salary
708	1	534	12	4	216.0	6600	70	9000
712	1	322	15	3	15.0	6300	70	11760
722	1	334	12	4	40.5	5880	70	10980
736	1	432	15	3	93.0	6600	94	13920
745	1	364	15	3	43.0	5700	96	13020
765	1	378	12	4	75.0	6000	87	11040
771	1	338	15	3	48.0	6000	72	11340
785	1	344	15	3	55.0	6300	68	12120
786	1	354	15	3	34.0	6300	82	32000
787	1	368	15	3	52.0	6000	81	10620
812	1	345	15	3	46.0	6300	67	12480
816	1	322	14	3	14.5	6000	71	11220
821	1	364	15	3	55.0	6600	79	11100
829	1	329	12	4	47.0	6300	66	13416
843	1	390	15	3	64.0	6300	92	12660
844	1	383	12	4	106.0	6600	64	13560
850	1	397	15	3	69.0	6600	83	13260
857	1	492	12	4	210.0	7200	65	11520
880	1	352	12	4	46.0	5700	95	9300
911	1	364	14	3	59.0	6300	91	15960
931	1	356	12	4	83.0	5700	96	14460
934	1	394	14	3	60.0	6600	90	15120
961	1	344	12	4	80.0	6300	66	12108
968	1	331	15	3	12.0	6300	76	17364
979	1	386	15	3	68.0	6000	96	16800
983	1	381	15	3	48.0	6300	91	10980
1007	1	349	15	3	48.0	6300	70	11940
1009	1	368	12	4	94.0	6600	79	13560
1033	1	401	12	4	119.5	6000	94	10800
1044	1	341	15	3	55.5	6300	70	10140
1067	1	307	15	3	9.5	5700	65	12660
1071	1	327	12	4	85.0	6300	63	15660
1103	1	361	12	4	85.0	6300	82	11940
1111	1	369	15	3	78.0	6600	67	10860
1124	1	365	15	3	78.0	6300	94	13560
644	2	294	12	4	5.0	4500	80	7860
645	2	276	12	4	0.0	4500	65	8700
648	2	297	8	5	9.0	4800	81	10980
651	2	309	15	3	7.0	5400	69	9660
662	2	289	12	4	12.0	4980	69	9780
663	2	384	16	2	19.0	6900	85	14280
666	2	292	12	4	5.0	4500	80	8940
675	2	279	12	4	0.0	4800	69	8640
680	2	290	12	4	0.0	4980	69	11160
682	2	283	12	4	0.0	4500	66	8160
684	2	680	12	4	139.0	5100	63	8580
691	2	310	12	4	0.0	4200	93	10560
698	2	298	12	4	0.0	4500	81	9060
701	2	299	12	4	7.0	6600	71	8880
710	2	340	15	3	24.0	6600	86	11760
714	2	279	8	5	17.0	4980	69	11640
716	2	297	12	4	5.0	4500	81	10920
720	2	337	15	3	0.0	4620	93	9660
724	2	300	12	4	18.0	4500	80	9360
729	2	281	12	4	2.0	4500	69	9060
742	2	546	12	4	197.5	5400	64	9360
743	2	740	12	4	204.5	7500	90	12600
746	2	301	12	4	7.5	4380	80	9720
750	2	322	15	3	11.0	4620	93	11700
753	2	285	12	4	0.0	4500	69	8340
762	2	301	12	4	3.5	4500	80	11400
774	2	307	12	4	5.5	4560	93	11040
780	2	332	15	3	31.5	5340	88	14220
781	2	315	12	4	24.0	4500	92	8040
790	2	288	12	4	2.0	4620	74	10440
796	2	705	15	3	265.0	7800	82	11100
803	2	315	15	3	7.0	4800	76	10200
809	2	298	12	4	24.0	5100	65	9000
813	2	307	15	3	21.5	5580	73	9180
818	2	322	16	2	20.0	7800	64	13140
828	2	311	12	4	9.5	4200	93	9180
847	2	296	12	4	0.0	4500	77	8520
863	2	351	16	2	26.0	7200	75	13200
871	2	294	12	4	0.0	4380	81	9240
873	2	327	12	4	22.0	6000	76	11664
876	2	292	12	4	0.0	4500	80	9360
879	2	284	12	4	4.5	4980	69	12240
885	2	292	8	5	4.5	4380	81	9000
888	2	281	12	4	0.0	4500	69	8160
912	2	295	12	4	18.0	4620	81	10680
913	2	667	17	1	375.0	5100	73	11640
919	2	301	12	4	0.0	4500	81	9960
924	2	303	12	4	11.0	4380	81	7860
929	2	362	16	2	2.5	6900	80	13800
937	2	361	16	2	12.0	7200	71	14640
941	2	299	12	4	8.5	4380	81	8820
955	2	295	12	4	11.0	4800	81	10200
970	2	325	15	3	47.0	4440	67	12540
980	2	350	16	2	4.0	6300	82	9300
981	2	292	12	4	4.0	4860	77	13800
994	2	326	15	3	18.5	5100	81	11280
1004	2	309	12	4	30.0	6120	72	11760
1011	2	310	12	4	16.0	4500	83	9600
1012	2	301	12	4	9.0	5700	63	11760
1015	2	326	12	4	47.0	5400	78	9840
1028	2	354	15	3	3.0	5400	94	10560
1039	2	345	15	3	5.0	7200	75	14820
1043	2	292	12	4	7.5	4800	79	9780
1050	2	306	12	4	6.0	4200	92	11400
1054	2	296	12	4	4.5	4380	79	9900
1056	2	345	15	3	22.0	5400	90	13020
1059	2	281	12	4	1.5	4500	68	9120
1062	2	534	12	4	3.0	6000	90	13320
1063	2	365	16	2	0.0	6600	90	15420
1064	2	293	12	4	19.5	5100	69	9540
1076	2	300	12	4	0.0	4380	80	7260
1078	2	618	12	4	181.0	5400	67	8340
1035	2	527	16	2	143.0	6600	98	12120
1090	2	342	15	3	6.0	7200	78	13020
1091	2	328	12	4	32.0	5400	73	11160
1099	2	328	12	4	18.0	5580	72	11520
1102	2	284	12	4	0.0	4500	69	9120
1108	2	284	12	4	1.5	4500	69	8280
1110	2	349	15	3	56.5	5580	64	10080
1125	2	726	8	5	159.0	4800	73	8460
1129	2	289	12	4	13.0	4500	81	9240

